,Year,Course Code,Course Title,Instructor,School,Term,"Day, Period",Classroom,Course Description,Language
0,2024,LNGA381S,Seminar on Communication 02,"MORIYAMA, Hiizu",SILS,spring semester,Mon.5,11-605,This seminar is for those students who wish to study the grammatical and l......,English
1,2024,LNGT381S,Seminar on Communication 05,"NAMAI, Kenichi",SILS,spring semester,Wed.3,11-906,Face-to-Face This three-semester-long seminar provides an approachable int......,English
2,2024,LNGA388S,Seminar on Communication 06,"IINO, Masakazu",SILS,spring semester,Wed.5,11-911,Mode of Delivery: Face-to-Face This advanced seminar will examine various......,English
3,2024,LNGA381S,Seminar on Communication 07,"KONDO, Mariko",SILS,spring semester,Tues.2,11-816,The main focus of this course is to learn howto plan and conduct linguisti......,English
4,2024,LNGA382S,Seminar on Communication 08,"MASUKO, Mayumi",SILS,spring semester,Thur.3,11-803,This course is designed to prepare and assist students in conducting resea......,English
5,2024,LNGA383S,Seminar on Communication 09,"MUEHLEISEN, Victoria L.",SILS,spring semester,Tues.2,11-811,"In this seminar, students will explore ways in which linguistic theory and......",English
6,2024,LNGA386S,Seminar on Communication 13,"SATO, Azusa",SILS,spring semester,Thur.2,11-610,This course will immerse students with the critical elements of interpreti......,English
7,2024,CMFC317S,Seminar on Culture 01,"ASO, Takashi",SILS,spring semester,Fri.4,11-912,This course is designed to help students to understand the United States f......,English
8,2024,CMFC318S,Seminar on Culture 02,"BERNARD, Rosemarie",SILS,spring semester,Tues.5,11-502,This semester will continue our discussion of the subject of Anthropology ......,English
9,2024,ARSH384S,Seminar on Culture 12,"MIKAMI, Hiroko",SILS,spring semester,Wed.3,11-808,Full Face-to-FaceThis advanced seminar is designed to introduce senior stu......,English
10,2024,CMFC311S,Seminar on Culture 17,"CHEN, Tien Shi",SILS,spring semester,Wed.4,11-813,This seminar examines major issue of diasporas and migrants in Asia. Theo......,English
11,2024,INFY301S,Seminar on Culture 18,"OHMAN, Emily",SILS,spring semester,Tues.2,11-915,F2F + Remote *This class will be taught as a hybrid and hi-flex class. The......,English
12,2024,ECNA301S,Seminar on Economy and Business 01,"BAAK, Saang Joon",SILS,spring semester,Tues.5,11-711,The purpose of this seminar is to study the economies in East Asia includi......,English
13,2024,ECNA313S,Seminar on Economy and Business 02,"DAIMON-SATO, Takeshi",SILS,spring semester,Fri.5,11-606,This advanced seminar reads and discusses the theory and policy of economi......,English
14,2024,CMMI371S,Seminar on Economy and Business 05,"POKARIER, Christopher J",SILS,spring semester,Wed.5,11-606,In the second semester of our Creative Industries zemi series we will expl......,English
15,2024,ECNA334S,Seminar on Economy and Business 07,"MORIMOTO, Mariko",SILS,spring semester,Wed.4,11-914,Many courses offered in marketing focus on methods for developing persuasi......,English
16,2024,ECNA302S,Seminar on Economy and Business 08,"SUZUKI, Ayako",SILS,spring semester,Mon.2,11-808,The objective of this advanced seminar series is to study topics on empiri......,English
17,2024,CMFE321S,Seminar on Expression 03,"MORITA, Norimasa",SILS,spring semester,Fri.5,11-812,The term 'New Hollywood Cinema' denotes films crafted by filmmakers of the......,English
18,2024,MDAX301S,Seminar on Expression 06,"HARTZHEIM, Bryan Hikari",SILS,spring semester,Wed.3,11-811,"In the age of “media convergence,” where content flows across multiple med......",English
19,2024,LITJ365S,Seminar on Expression 08,"PINNINGTON, Adrian J.",SILS,spring semester,Tues.5,11-812,"In Person There are many different ways of studying literary texts, but in......",English
20,2024,CMFE353S,Seminar on Expression 09,"KARASHIMA, David",SILS,spring semester,Wed.4,11-820,This advanced creative writing/translation/literature seminar will be org......,English
21,2024,LITV382S,Seminar on Expression 11,"HSIAO, Li Chun",SILS,spring semester,Wed.6,11-503,This advanced seminar provides students who are interested in postcolonial......,English
22,2024,LITV382S,Seminar on Expression 12,"ERBER, Pedro Rabelo",SILS,spring semester,Wed.2,11-802,This upper-level seminar is geared towards students in the process of writ......,English
23,2024,LITJ366S,Global Leadership Fellows Program(GLFP) Directed Seminar 01,"SAKAKIBARA, Richi",SILS,spring semester,Tues.3,11-804,* This class will be conducted in the classroom FACE-TO-FACE. The format ......,English
24,2024,GENX201S,Intermediate Seminar 01,"BAABOOD, Abdullah",SILS,spring semester,Tues.2,11-610,•	The course is based on weekly seminars and will provide an overall under......,English
25,2024,GENX201S,Intermediate Seminar 02,"BACON, Paul Martyn",SILS,spring semester,Thur.2,11-705,The method of course delivery will be Face-to-Face (F2F) (*Please note tha......,English
26,2024,GENX201S,Intermediate Seminar 03,"DAIMON-SATO, Takeshi",SILS,spring semester,Sat.4,11-816,This seminar is intended to critically review Amartya Sen's capability app......,English
27,2024,GENX201S,Intermediate Seminar 08,"OKAMOTO, Koichi",SILS,spring semester,Thur.3,11-910,Recent historical studies show a different outlook from what we have seen ......,English
28,2024,GENX201S,Intermediate Seminar 09,"CHEUNG, Mong",SILS,spring semester,Tues.5,11-702,This seminar is designed to encourage students to think systematically abo......,English
29,2024,GENX201S,Intermediate Seminar 11,"DIMMER, Christian",SILS,spring semester,Fri.3,11-813,"※Face-to-Face delivery For many critical thinkers such as Silke Helfrich, ......",English
30,2024,GENX201S,Intermediate Seminar 15,"POKARIER, Christopher J",SILS,spring semester,Wed.4,11-606,Face-to-Face (F2F) Effective negotiation skills are essential to the achie......,English
31,2024,GENX201S,Intermediate Seminar 18,"IKESHIMA, Taisaku",SILS,spring semester,Thur.1,11-807,"In this seminar, we consider a way of looking at the world order through g......",English
32,2024,GENX201S,Intermediate Seminar 20,"BAAK, Saang Joon",SILS,spring semester,Mon.5,11-814,The purpose of this seminar is to study the challenges that the Japanese e......,English
33,2024,GENX201S,Intermediate Seminar 21,"AKIBA, Takeshi",SILS,spring semester,Wed.3,11-813,"This seminar will examine the status of minorities in Japanese society, in......",English
34,2024,GENX201S,Intermediate Seminar 25,"NAGASAKA, Masumi",SILS,spring semester,Wed.3,11-814,"{Course Delivery Method] Face to Face In this seminar, students are invite......",English
35,2024,GENX201S,Intermediate Seminar 27,"ISHIKAWA, Terukichi",SILS,spring semester,Thur.2,11-811,"Mode of Delivery: Face-to-Face(F2F) In this seminar, we read several texts......",English
36,2024,GENX201S,Intermediate Seminar 33,"MORIYAMA, Hiizu",SILS,spring semester,Wed.4,11-805,This seminar course is for those students who wish to improve their abilit......,English
37,2024,GENX201S,Intermediate Seminar 37,"CABELL, Charles Richard",SILS,spring semester,Mon.3,11-806,"The term ""coloniality""suggests how the violence and domination of colonial......",English
38,2024,GENX201S,Intermediate Seminar 38,"SATO, Azusa",SILS,spring semester,Mon.3,11-610,The class will introduce students to the basic elements of interpreting wh......,English
39,2024,GENX201S,Intermediate Seminar 39,"CABELL, Charles Richard",SILS,spring semester,Mon.4,11-806,"The term ""coloniality""suggests how the violence and domination of colonial......",English
40,2024,GENX201S,Intermediate Seminar 40,"MUEHLEISEN, Victoria L.",SILS,spring semester,Tues.4,11-711,"In this seminar, we will investigate human language, thinking about what l......",English
41,2024,BSPX102S,First Year Seminar B 01,"NISHIMURA, Keiko",SILS,spring semester,Wed.4,11-809,What does it mean to be“in” public or for an issue to be an issue of “publ......,English
42,2024,BSPX102S,First Year Seminar B 02,"DESSIATNITCHENKO, Polina",SILS,spring semester,Tues.3,11-910,This course ventures into essential questions about the role of music acro......,English
43,2024,BSPX102S,First Year Seminar B 03,"NAKAMURA, Chie",SILS,spring semester,Thur.2,7-202,"In this course, students will develop skillsrequired to do group-based sci......",English
44,2024,BSPX102S,First Year Seminar B 05,"QI, Xin",SILS,spring semester,Tues.4,10-405,※Face-to-Face This seminar will be centered around a series of Python co......,English
45,2024,BSPX102S,First Year Seminar B 06,"MANNING, Julian",SILS,spring semester,Mon.3,11-814,This course is designed to be part I of a two-part course in conjunction w......,English
46,2024,BSPX102S,First Year Seminar B 08,"FIELD, Malcolm",SILS,spring semester,Fri.3,11-606,This seminar is an introductory seminar on International Relations. We wil......,English
47,2024,BSPX102S,First Year Seminar B 09,"KARASHIMA, David",SILS,spring semester,Wed.3,11-815,In this introductory seminar students will be asked to read literary works......,English
48,2024,BSPX102S,First Year Seminar B 10,"TRAN THI NGOC, Phuong",SILS,spring semester,Wed.5,undecided,Undertaking research in second language teaching and learning requires a b......,English
49,2024,BSPX102S,First Year Seminar B 11,"BACON, Paul Martyn",SILS,spring semester,Mon.4,11-812,The method of course delivery will be Face-to-Face (F2F) (*Please note tha......,English
