,Year,Course Code,Course Title,Instructor,School,Term,"Day, Period",Classroom,Course Description,Language
0,2024,CMFC281S,Exploring Cultures through Film 1,"HANAMITSU, Rika",Schl Social Sci,spring semester,Fri.2,14-516,異文化コミュニケーションについて、映画を通して英語で学ぶ授業である。私たち......,English
1,2024,ECNA321S,SeminarII (Study of International Financial Systems/spring semester),"KITAMURA, Yoshihiro",Schl Social Sci,spring semester,Tues.3,14-510共同利用研究室5,"Given basic skills in macro-, micro-economics, and regression analysis, pa......",English
2,2024,ECNA421S,SeminarIII (Study of International Financial Systems/spring semester),"KITAMURA, Yoshihiro",Schl Social Sci,spring semester,Tues.3,14-510共同利用研究室5,"Given basic skills in macro-, micro-economics, and regression analysis, pa......",English
3,2024,ARSA381S,SeminarII (Modern Japanese Studies/spring semester),"GAYLE, Curtis Anderson",Schl Social Sci,spring semester,Fri.3,14-806共同利用研究室7,This seminar will be for 3rd and 4th year students and will take up variou......,English
4,2024,ARSA481S,SeminarIII (Modern Japanese Studies/spring semester),"GAYLE, Curtis Anderson",Schl Social Sci,spring semester,Fri.3,14-806共同利用研究室7,This seminar will be for 3rd and 4th year students and will take up variou......,English
5,2024,MANX311S,SeminarII (Organizational Behavior and Human Resource Management/spring semester),"JUNG, Yuhee",Schl Social Sci,spring semester,Wed.5,14-402,Seminars II and III in the spring semester will discuss issues related to ......,English
6,2024,MANX411S,SeminarIII (Organizational Behavior and Human Resource Management/spring semester),"JUNG, Yuhee",Schl Social Sci,spring semester,Wed.5,14-402,Seminars II and III in the spring semester will discuss issues related to ......,English
7,2024,INTB331S INTA321S,"SeminarII (Violence, Conflict and Development/spring semester)","KOYAMA, Shukuko",Schl Social Sci,spring semester,Wed.3,14-409,How can we build a world thatis secure and peaceful? What role can develop......,English
8,2024,INTB431S INTA421S,"SeminarIII (Violence, Conflict and Development/spring semester)","KOYAMA, Shukuko",Schl Social Sci,spring semester,Wed.3,14-409,How can we build a world thatis secure and peaceful? What role can develop......,English
9,2024,GDRX301S SOCX381S GSSA311S,"SeminarII (Gender, Sexuality and Society/spring semester)","KAMANO, Saori",Schl Social Sci,spring semester,Wed.4,7-304,The academic field of gender and sexuality encompasses not only topics or ......,English
10,2024,GDRX401S SOCX481S GSSA411S,"SeminarIII (Gender, Sexuality and Society/spring semester)","KAMANO, Saori",Schl Social Sci,spring semester,Wed.4,7-304,The academic field of gender and sexuality encompasses not only topics or ......,English
11,2024,BSPX101S,Freshman Seminar (Spring) A,"DRIANDA, Riela Provi／SHIMODA, Yukimi／ENDO, Masahisa／OCHIAI, Mototsugu／KITAMURA, Yoshihiro／GAYLE, Curtis Anderson／JUNG, Yuhee／TERAO, Hanno／TODA, Manabu／NAKAHASHI, Wataru／HANAMITSU, Rika／HORI, Yoshie／YAMADA, Mitsuru",Schl Social Sci,spring semester,Tues.3,14-604,【TAISI Course】 This course will include lectures from different professo......,English
12,2024,BSPX101S,Freshman Seminar (Spring) B,"DRIANDA, Riela Provi／SHIMODA, Yukimi／ENDO, Masahisa／OCHIAI, Mototsugu／KITAMURA, Yoshihiro／GAYLE, Curtis Anderson／JUNG, Yuhee／TERAO, Hanno／TODA, Manabu／NAKAHASHI, Wataru／HANAMITSU, Rika／HORI, Yoshie／YAMADA, Mitsuru",Schl Social Sci,spring semester,Tues.3,14-604,【TAISI Course】 This course will include lectures from different professo......,English
13,2024,BSPX201S,Sophomore Seminar (Spring) A,"KORWATANASAKUL, Upalat",Schl Social Sci,spring semester,Tues.2,14-807共同利用研究室8,This course aims to prepare students to undertake research projects by int......,English
14,2024,BSPX201S,Sophomore Seminar (Spring) B,"KAGAWA, Megumi",Schl Social Sci,spring semester,Wed.3,14-516,The learning objectives of this seminar are: 1) 1) to understand soci......,English
15,2024,LAWG311S,SeminarII (Study of Environmental Law/spring semester),"KUROKAWA, Satoshi",Schl Social Sci,spring semester,Wed.4,14-505,This course is conducted inJapanese as well asEnglish.　教員は日本語80%英......,Japanese/English
16,2024,ECNA301S,SeminarII (Economic Analysis of the World Economy/spring semester),"GEMMA, Masahiko",Schl Social Sci,spring semester,Mon.4,14-510共同利用研究室5,"Dependent on the COVID-19 situation and works we do, we will occasionally ......",Japanese/English
17,2024,LAWG411S,SeminarIII (Study of Environmental Law/spring semester),"KUROKAWA, Satoshi",Schl Social Sci,spring semester,Wed.4,14-505,This course is conducted inJapanese as well asEnglish.　教員は日本語80%英......,Japanese/English
18,2024,ECNA401S,SeminarIII (Economic Analysis of the World Economy/spring semester),"GEMMA, Masahiko",Schl Social Sci,spring semester,Mon.4,14-510共同利用研究室5,"Dependent on the COVID-19 situation and works we do, we will occasionally ......",Japanese/English
19,2024,INTB351S,SeminarII (International Cooperation and Peace Building/spring semester),"YAMADA, Mitsuru",Schl Social Sci,spring semester,Wed.3,14-404,平和構築は紛争後国家の再建と、再び紛争に陥らないように紛争の芽を摘むこと......,Japanese/English
20,2024,INTB451S,SeminarIII (International Cooperation and Peace Building/spring semester),"YAMADA, Mitsuru",Schl Social Sci,spring semester,Wed.3,14-404,平和構築は紛争後国家の再建と、再び紛争に陥らないように紛争の芽を摘むこと......,Japanese/English
21,2024,LNGA381S ANTV381S SOCX381S,SeminarII (Research on Talk in Multilingual Society/spring semester),"FURUKAWA, Toshiaki",Schl Social Sci,spring semester,Wed.3,14-507共同利用研究室2,「多言語社会の会話研究」と題した本ゼミナールは，日本をベースに，その他の国......,Japanese/English
22,2024,LNGA481S ANTV481S SOCX481S,SeminarIII (Research on Talk in Multilingual Society/spring semester),"FURUKAWA, Toshiaki",Schl Social Sci,spring semester,Wed.3,14-507共同利用研究室2,「多言語社会の会話研究」と題した本ゼミナールは，日本をベースに，その他の国......,Japanese/English
23,2024,GDRX101S INTB131S,Global Learning (Gender and Development) A,"HOMMA, Mariko",Schl Social Sci,spring semester,Tues.2,10-403,本授業では、ジェンダーと開発とはどのようなものなのか英文資料を用いて理解を......,Japanese/English
24,2024,LAWA101S,Global Learning (Public Law) A,"YOSHIOKA, Ikumi",Schl Social Sci,spring semester,Tues.2,14-406（演習室）,本講義は、早稲田大学社会科学部のディプロマポリシー「社会科学の基礎的理解」......,Japanese/English
25,2024,MANX341S GSSC301S GSSD301S,SeminarII (Global Business and Organizational Leadership/spring semester),"YOSHIKAWA, Toru",Schl Social Sci,spring semester,Tues.4,14-407,Students will conduct their research either as a group member or individua......,Japanese/English
